timestamp,beach_id,station_id,sst_c,upwelling_index,acoustic_density_pct,synthetic_flag,source_class
2025-02-23 00:00:00,palm-beach,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,north-steyne,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,bondi,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,coogee,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,cronulla,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,balmoral,IMOS_SYD_OFFSHORE_FIXTURE,18.68,1.079,0.287,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,palm-beach,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,north-steyne,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,bondi,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,coogee,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,cronulla,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,balmoral,IMOS_SYD_OFFSHORE_FIXTURE,18.98,0.462,0.495,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 02:00:00,palm-beach,IMOS_SYD_OFFSHORE_FIXTURE,19.21,0.922,0.485,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 02:00:00,north-steyne,IMOS_SYD_OFFSHORE_FIXTURE,19.21,0.922,0.485,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 02:00:00,bondi,IMOS_SYD_OFFSHORE_FIXTURE,19.21,0.922,0.485,true,SYNTHETIC_ENGINEERING_FIXTURE
