timestamp,beach_id,station_id,turbidity_ntu,discharge_m3s,synthetic_flag,source_class
2025-02-23 00:00:00,palm-beach,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,north-steyne,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,bondi,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,coogee,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,cronulla,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 00:00:00,balmoral,WATERNSW_SYD_ESTUARY_FIXTURE,1.98,1.98,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,palm-beach,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,north-steyne,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,bondi,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,coogee,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,cronulla,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23 01:00:00,balmoral,WATERNSW_SYD_ESTUARY_FIXTURE,1.89,3.0,true,SYNTHETIC_ENGINEERING_FIXTURE
